City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,bluff,-46.6,168.3333,60.13,81,48,15.05,NZ,1647836759
85,vaini,-21.2,-175.2,81.61,69,100,14.67,TO,1647836760
86,beloha,-25.1667,45.05,68.45,72,27,9.26,MG,1647836760
87,slave lake,55.2834,-114.769,30.18,69,40,0.0,CA,1647836760
88,conceicao da barra,-18.5933,-39.7322,74.41,88,33,3.2,BR,1647836761
89,shetpe,44.1667,52.1167,25.21,60,3,4.9,KZ,1647836761
90,ahipara,-35.1667,173.1667,70.75,77,12,7.87,NZ,1647836761
91,la asuncion,11.0333,-63.8628,76.73,88,51,9.22,VE,1647836766
92,faanui,-16.4833,-151.75,82.83,70,9,18.32,PF,1647836766
93,richards bay,-28.783,32.0377,64.11,83,2,4.36,ZA,1647836767
94,bad doberan,54.1071,11.9005,37.11,57,0,13.47,DE,1647836767
95,cape canaveral,28.4058,-80.6048,69.01,61,0,12.66,US,1647836767
96,salalah,17.0151,54.0924,73.49,16,0,1.14,OM,1647836768
97,high level,58.5169,-117.136,32.11,74,40,2.3,CA,1647836704
98,pachino,36.7186,15.0907,47.75,64,91,12.66,IT,1647836747
99,sangin,32.0728,64.8359,66.18,18,1,3.09,AF,1647836768
100,vestmannaeyjar,63.4427,-20.2734,39.45,63,100,11.27,IS,1647836769
101,bengkulu,-3.8004,102.2655,83.79,62,92,4.47,ID,1647836675
102,new norfolk,-42.7826,147.0587,74.88,46,91,3.0,AU,1647836769
103,nioki,-2.7167,17.6833,70.81,98,100,1.92,CD,1647836769
104,imbituba,-28.24,-48.6703,67.82,87,98,4.9,BR,1647836770
105,yurimaguas,-5.9,-76.0833,72.5,99,100,1.19,PE,1647836770
106,kysyl-syr,63.8986,122.7617,19.92,88,100,3.83,RU,1647836770
107,kerman,30.2832,57.0788,53.46,22,0,0.0,IR,1647836771
108,mataura,-46.1927,168.8643,71.26,45,71,4.54,NZ,1647836771
109,mayo,38.8876,-76.5119,51.75,52,0,12.66,US,1647836771
110,srednekolymsk,67.45,153.6833,13.89,85,100,16.78,RU,1647836772
111,georgetown,5.4112,100.3354,80.55,78,20,4.61,MY,1647836772
112,ancud,-41.8697,-73.8203,51.91,93,98,8.86,CL,1647836773
113,upernavik,72.7868,-56.1549,-17.64,89,35,5.86,GL,1647836774
114,anadyr,64.75,177.4833,10.9,84,99,4.47,RU,1647836774
115,cape town,-33.9258,18.4232,66.11,85,0,10.36,ZA,1647836603
116,leshukonskoye,64.8989,45.7622,25.39,87,38,8.93,RU,1647836775
117,cidreira,-30.1811,-50.2056,67.14,59,52,12.53,BR,1647836775
118,waingapu,-9.6567,120.2641,86.31,69,82,5.7,ID,1647836775
119,khovu-aksy,51.1333,93.6,17.47,74,38,1.25,RU,1647836776
120,bardiyah,31.7561,25.0865,51.24,58,100,14.07,LY,1647836776
121,sfantu gheorghe,45.8667,25.7833,26.26,80,41,0.43,RO,1647836776
122,brookings,44.3114,-96.7984,53.11,54,0,19.57,US,1647836605
123,asilah,35.465,-6.0348,51.76,88,1,11.72,MA,1647836777
124,goure,13.9835,10.2704,72.19,7,100,3.09,NE,1647836777
125,columbus,39.9612,-82.9988,44.19,73,0,3.44,US,1647836612
126,la tuque,47.4334,-72.7824,32.25,93,100,1.14,CA,1647836777
127,talnakh,69.4865,88.3972,7.21,96,92,5.06,RU,1647836778
128,kapaa,22.0752,-159.319,76.98,94,100,9.22,US,1647836778
129,dikson,73.5069,80.5464,-5.46,100,96,9.89,RU,1647836778
130,tasiilaq,65.6145,-37.6368,3.36,65,7,7.52,GL,1647836779
131,geraldton,-28.7667,114.6,81.01,54,5,21.85,AU,1647836779
132,victoria,22.2855,114.1577,80.65,89,95,11.01,HK,1647836721
133,oussouye,12.485,-16.5469,71.78,72,28,8.37,SN,1647836780
134,peniche,39.3558,-9.3811,51.3,93,19,14.92,PT,1647836780
135,tuatapere,-46.1333,167.6833,66.63,59,60,5.68,NZ,1647836781
136,kruisfontein,-34.0033,24.7314,63.09,90,36,2.95,ZA,1647836781
137,ubinskoye,55.3068,79.6802,14.92,91,100,17.76,RU,1647836782
138,landskrona,55.8708,12.8302,39.18,74,24,13.96,SE,1647836782
139,puerto ayora,-0.7393,-90.3518,75.54,99,33,2.59,EC,1647836783
140,andenes,69.3143,16.1194,44.58,61,0,37.98,NO,1647836783
141,villa maria,-32.4075,-63.2402,57.81,84,88,9.33,AR,1647836784
142,lasa,46.6166,10.7002,33.03,92,73,1.14,IT,1647836784
143,xai-xai,-25.0519,33.6442,71.1,67,34,5.35,MZ,1647836785
144,bethel,41.3712,-73.414,44.69,75,100,5.75,US,1647836785
145,saint-philippe,-21.3585,55.7679,80.11,87,97,9.1,RE,1647836787
146,nikolskoye,59.7035,30.7861,33.87,97,80,4.56,RU,1647836787
147,mar del plata,-38.0023,-57.5575,56.88,75,75,11.99,AR,1647836650
148,coihaique,-45.5752,-72.0662,51.75,82,75,4.61,CL,1647836697
149,satoraljaujhely,48.4,21.6667,32.95,62,0,3.98,HU,1647836788
150,east london,-33.0153,27.9116,65.34,100,20,2.3,ZA,1647836788
151,dunedin,-45.8742,170.5036,60.8,84,65,5.01,NZ,1647836789
152,alice springs,-23.7,133.8833,92.75,18,0,12.66,AU,1647836789
153,turayf,31.6725,38.6637,41.25,45,40,11.5,SA,1647836789
154,tocopilla,-22.092,-70.1979,68.5,78,32,6.49,CL,1647836790
155,kautokeino,69.0125,23.0412,33.28,53,100,10.13,NO,1647836790
156,bintulu,3.1667,113.0333,88.21,74,20,8.05,MY,1647836790
157,isangel,-19.55,169.2667,81.63,85,100,21.45,VU,1647836791
158,tiksi,71.6872,128.8694,7.27,84,99,8.23,RU,1647836791
159,kavieng,-2.5744,150.7967,85.98,66,77,9.46,PG,1647836792
160,kibala,9.1104,18.3463,79.41,15,75,4.76,TD,1647836792
161,solenzo,12.1833,-4.0833,84.22,40,76,5.14,BF,1647836792
162,mao,39.8885,4.2658,55.96,76,75,18.41,ES,1647836741
163,sitka,57.0531,-135.33,40.89,65,100,19.57,US,1647836793
164,san quintin,30.4833,-115.95,57.0,86,15,15.88,MX,1647836663
165,chuy,-33.6971,-53.4616,61.81,58,32,10.98,UY,1647836793
166,alofi,-19.0595,-169.9187,84.09,70,75,9.22,NU,1647836793
167,hasaki,35.7333,140.8333,54.0,51,100,9.6,JP,1647836794
168,longyearbyen,78.2186,15.6401,22.84,93,100,31.07,SJ,1647836794
169,cherskiy,68.75,161.3,15.21,79,100,8.88,RU,1647836794
170,namatanai,-3.6667,152.4333,86.09,63,75,7.11,PG,1647836795
171,cumberland,35.0502,-78.8664,53.49,67,0,3.44,US,1647836795
172,aklavik,68.2191,-135.0107,-4.31,97,100,10.58,CA,1647836797
173,kytmanovo,53.4593,85.4479,22.59,93,100,13.0,RU,1647836797
174,hit,33.6416,42.8251,44.31,27,66,8.93,IQ,1647836797
175,chegdomyn,51.1167,133.0167,18.07,78,100,5.01,RU,1647836797
176,kuah,6.3265,99.8432,85.98,74,40,6.91,MY,1647836798
177,alpena,45.0617,-83.4327,34.05,86,0,0.0,US,1647836798
178,polyarnyy,69.1989,33.4478,29.55,83,99,12.28,RU,1647836799
179,kucevo,44.4775,21.67,31.44,52,1,3.87,RS,1647836799
180,antsohihy,-14.8796,47.9875,75.54,94,84,1.52,MG,1647836799
181,vila franca do campo,37.7167,-25.4333,57.61,76,93,13.0,PT,1647836800
182,pochutla,15.7432,-96.4661,79.83,64,1,3.85,MX,1647836800
183,gobabis,-22.45,18.9667,65.41,73,69,9.33,NA,1647836800
184,betioky,-23.7167,44.3833,66.56,77,0,8.7,MG,1647836801
185,san,13.3034,-4.8956,84.54,29,28,7.96,ML,1647836801
186,adana,36.985,35.2881,44.62,39,0,16.11,TR,1647836802
187,mayumba,-3.432,10.6554,79.11,79,100,3.18,GA,1647836802
188,cayenne,4.9333,-52.3333,79.09,1,100,3.44,GF,1647836802
189,aras,42.5617,-2.356,48.72,93,100,11.5,ES,1647836803
190,bar harbor,44.3876,-68.2039,42.28,87,100,10.0,US,1647836803
191,hovd,48.0056,91.6419,27.43,17,0,2.1,MN,1647836804
192,sulangan,11.1373,123.7228,82.94,77,100,10.63,PH,1647836804
193,touros,-5.1989,-35.4608,78.67,83,96,8.81,BR,1647836805
194,hilo,19.7297,-155.09,76.73,82,75,10.36,US,1647836805
195,pailon,-17.65,-62.75,74.3,79,32,4.0,BO,1647836805
196,muroto,33.2833,134.15,53.62,64,100,7.29,JP,1647836806
197,saratovskaya,44.7103,39.2244,27.66,63,5,5.48,RU,1647836806
198,ugoofaaru,5.6667,73.0,83.53,63,100,11.05,MV,1647836806
199,oshikango,-17.4,15.8833,66.97,89,21,5.14,NA,1647836806
200,yerbogachen,61.2767,108.0108,24.35,91,100,15.5,RU,1647836807
201,sadovoye,47.7764,44.5089,26.83,89,17,12.24,RU,1647836807
202,luba,3.4568,8.5547,73.29,79,82,4.65,GQ,1647836808
203,nanga eboko,4.6833,12.3667,67.55,99,61,2.26,CM,1647836808
204,harper,4.375,-7.7169,78.1,87,74,2.62,LR,1647836632
205,hauterive,46.0901,3.4459,47.16,74,100,5.03,FR,1647836808
206,weligama,5.9667,80.4167,85.15,69,37,11.05,LK,1647836809
207,padang,-0.9492,100.3543,86.05,65,97,4.59,ID,1647836809
208,kaitangata,-46.2817,169.8464,63.5,73,72,13.18,NZ,1647836809
209,kavaratti,10.5669,72.642,81.81,65,19,7.58,IN,1647836810
210,kayerkan,69.3497,87.7602,6.53,84,91,6.31,RU,1647836810
211,port alfred,-33.5906,26.891,70.36,89,4,9.98,ZA,1647836810
212,port-gentil,-0.7193,8.7815,79.32,83,100,9.46,GA,1647836810
213,carnarvon,-24.8667,113.6333,84.27,51,19,25.32,AU,1647836811
214,lima,-12.0432,-77.0282,65.39,36,0,9.22,PE,1647836716
215,south bend,41.6834,-86.25,48.45,79,0,0.0,US,1647836811
216,boca do acre,-8.7522,-67.3978,71.55,100,100,2.42,BR,1647836811
217,sibolga,1.7427,98.7792,82.89,67,100,1.72,ID,1647836812
218,okhotsk,59.3833,143.3,24.87,72,100,20.4,RU,1647836812
219,zhuhai,22.2769,113.5678,84.85,88,40,5.75,CN,1647836812
220,hami,42.8,93.45,42.26,32,100,5.99,CN,1647836813
221,zhigalovo,54.8097,105.1578,30.09,77,97,5.5,RU,1647836813
222,kerema,-7.9631,145.7785,85.71,72,98,11.23,PG,1647836813
